"Id","FromAddress","ToAddress","Speed","Type","PermitDirection"
"20010","10001","13002","1000","Horizontal","Forward"
"20011","13002","11003","1000","Horizontal","Forward"
"20012","11003","10004","1000","Horizontal","Forward"
"20013","10004","10005","1000","Horizontal","Forward"
"20101","10005","11006","1000","Horizontal","Forward"
"20102","11006","10007","1000","Horizontal","Forward"
"20103","10007","10396","1000","Horizontal","Forward"
"20201","10396","10008","1000","Horizontal","Forward"
"20202","10008","11009","1000","Horizontal","Forward"
"20203","11009","10010","1000","Horizontal","Forward"
"20401","10010","10011","1000","Horizontal","Forward"
"20402","10011","11012","1000","Horizontal","Forward"
"20403","11012","11013","1000","Horizontal","Forward"
"20404","11013","11014","1000","Horizontal","Forward"
"20405","11014","10015","1000","Horizontal","Forward"
"20406","10015","10401","1000","Horizontal","Forward"
"20501","10401","10016","1000","Horizontal","Forward"
"20701","10016","10017","1000","Horizontal","Forward"
"20702","10017","10018","1000","Horizontal","Forward"
"20703","10018","10019","1000","Horizontal","Forward"
"20801","10019","10020","1000","Horizontal","Forward"
"20901","10020","11021","1000","Horizontal","Forward"
"20902","11021","10022","1000","Horizontal","Forward"
"20903","10022","10448","1000","Horizontal","Forward"
"21001","10448","10023","1000","Horizontal","Forward"
"21002","10023","12024","1000","Horizontal","Forward"
"21003","12024","12025","1000","Horizontal","Forward"
"21004","12025","12026","1000","Horizontal","Forward"
"21005","12026","12027","1000","Horizontal","Forward"
"21006","12027","12028","1000","Horizontal","Forward"
"21007","12028","12029","1000","Horizontal","Forward"
"21008","12029","12030","1000","Horizontal","Forward"
"21009","12030","12031","1000","Horizontal","Forward"
"21010","12031","12032","1000","Horizontal","Forward"
"21011","12032","12033","1000","Horizontal","Forward"
"21012","12033","12034","1000","Horizontal","Forward"
"21013","12034","12035","1000","Horizontal","Forward"
"21014","12035","12036","1000","Horizontal","Forward"
"21015","12036","12037","1000","Horizontal","Forward"
"21016","12037","12038","1000","Horizontal","Forward"
"21017","12038","12039","1000","Horizontal","Forward"
"21018","12039","12040","1000","Horizontal","Forward"
"21019","12040","12041","1000","Horizontal","Forward"
"21020","12041","12042","1000","Horizontal","Forward"
"21021","12042","12043","1000","Horizontal","Forward"
"21022","12043","12044","1000","Horizontal","Forward"
"21023","12044","12045","1000","Horizontal","Forward"
"21024","12045","12046","1000","Horizontal","Forward"
"21025","12046","12047","1000","Horizontal","Forward"
"21026","12047","12048","1000","Horizontal","Forward"
"21027","12048","12049","1000","Horizontal","Forward"
"21028","12049","10050","1000","Horizontal","Forward"
"21029","10050","10423","1000","Horizontal","Forward"
"21101","10423","10051","1000","Horizontal","Forward"
"21201","10051","13052","1000","Horizontal","Forward"
"21202","13052","11053","1000","Horizontal","Forward"
"21203","11053","13056","1000","Horizontal","Forward"
